Node_A,Node_B,
SM1      ,SM2      ,
SM1      ,SM14     ,
SM1      ,SM47     ,
SM47     ,SM35     ,
SM47     ,SM61     ,
SM402    ,SM103    ,
SM402    ,SM438    ,
SM10123  ,SM9953   ,
SM10123  ,SM10061  ,
SM10123  ,SM10285  ,
SM27229  ,SM26959  ,
SM27229  ,SM27427  ,
SM46059  ,SM45922  ,
SM46059  ,SM46502  ,
SM46059  ,SM46909  ,
SM46909  ,SM46794  ,
SM46909  ,SM47619  ,
SM101302 ,SM101061 ,
SM101302 ,SM101315 ,
SM101302 ,SM101659 ,
SM101659 ,SM101315 ,
SM101659 ,SM101668 ,
SM106962 ,SM106968 ,
SM109053 ,SM109003 ,
SM109053 ,SM109011 ,
SM109053 ,SM109054 ,
SM109588 ,SM109584 ,
SM109588 ,SM109604 ,
SM109604 ,SM109602 ,
SM109613 ,SM109612 ,
SM109613 ,SM109609 ,
SM109609 ,SM109606 ,
SM109609 ,SM109545 ,
SM109552 ,SM109524 ,
SM109552 ,SM109548 ,
SM109430 ,SM109473 ,
SM109430 ,SM109421 ,
SM109430 ,SM109375 ,
SM108639 ,SM108607 ,
SM108639 ,SM108505 ,
SM102268 ,SM102592 ,
SM102268 ,SM102146 ,
SM102268 ,SM101842 ,
SM101175 ,SM101411 ,
SM101175 ,SM101091 ,
SM101175 ,SM100920 ,
SM98323  ,SM98381  ,
SM98323  ,SM97852  ,
SM97852  ,SM97655  ,
SM97852  ,SM97547  ,
SM97547  ,SM97380  ,
SM92836  ,SM92894  ,
SM92836  ,SM91949  ,
SM91055  ,SM91949  ,
SM91055  ,SM91106  ,
SM91055  ,SM90427  ,
SM59362  ,SM59618  ,
SM59362  ,SM58831  ,
SM59362  ,SM58937  ,
SM32537  ,SM33003  ,
SM32537  ,SM32576  ,
SM32537  ,SM30326  ,
SM11966  ,SM11874  ,
SM7777   ,SM7886   ,
SM7777   ,SM7723   ,
SM4364   ,SM4432   ,
SM4364   ,SM4457   ,
SM1587   ,SM1609   ,
SM1587   ,SM1576   ,
SM1377   ,SM1389   ,
SM1377   ,SM1354   ,
SM1354   ,SM1334   ,
SM1334   ,SM1313   ,
SM1211   ,SM1235   ,
SM1211   ,SM1208   ,
SM5      ,SM16     ,
SM2      ,SM3      ,
SM14     ,SM27     ,
SM35     ,SM27     ,
SM27     ,SM41     ,
SM41     ,SM17     ,
SM41     ,SM45     ,
SM61     ,SM107    ,
SM61     ,SM103    ,
SM103    ,SM107    ,
SM107    ,SM113    ,
SM113    ,SM117    ,
SM117    ,SM124    ,
SM244    ,SM198    ,
SM244    ,SM247    ,
SM438    ,SM474    ,
SM438    ,SM477    ,
SM477    ,SM474    ,
SM477    ,SM741    ,
SM5836   ,SM5200   ,
SM5836   ,SM5898   ,
SM8532   ,SM8408   ,
SM9953   ,SM9767   ,
SM9953   ,SM10061  ,
SM10285  ,SM10335  ,
SM16652  ,SM16534  ,
SM16652  ,SM16776  ,
SM16776  ,SM16820  ,
SM16776  ,SM16934  ,
SM16934  ,SM16820  ,
SM16934  ,SM17079  ,
SM17079  ,SM17209  ,
