network,r_request,length_km,r_theory,z_w,z_r,z_f,z_f_p,z_f_p2,risk_total,risk_o_p,risk_o_p2,risk_tree,risk_section,risk_internal,risk_structural,bridges,structure_nodes,regular_chains,generalized_chains,gen_lambda_mean_km,gen_lambda_sigma_over_mean,gen_lambda_max_km,gen_physical_lambda_mean_km,gen_physical_lambda_sigma_over_mean,gen_physical_lambda_max_km,ilp_status,ilp_runtime_s,ilp_mip_gap,decomposition_runtime_s
Original P2U MV,,589.3393737389606,171.0,0.0,0.0,0.0,0.0,0.0,0.002266403030737346,0.0022602489935313885,6.154037205957362e-06,0.0022602489935313885,0.0,3.6126968748129956e-07,5.792767518476063e-06,8921,1426,1590,324,0.32438624119615833,1.4544548514510407,4.037640858950004,0.5314570701097132,0.820648118104175,4.1324511120854055,,,,8.777122300001793
OPT hierarchy R50,50.0,624.4744510764251,50.0,-0.05961773284305805,0.7076023391812866,0.7486752625550877,0.8815492444381492,-48.053155757733116,0.0005696031466444171,0.0002677282010417059,0.0003018749456027112,0.0002677282010417059,0.0,3.573959750849192e-05,0.0002661353480942193,2215,796,845,112,3.6119897097236127,0.59647195738938,12.000719535139824,4.46715204478765,0.41772383891498616,12.577881256319346,OPT_CONSTRUCTED,111.17252829996869,,7.891240400029346
OPT hierarchy R100,100.0,677.5116414846335,100.0,-0.1496120430343546,0.41520467836257313,0.8456707501472644,0.8815492444381492,-12.331748868293008,0.00034977227959766103,0.0002677282010417059,8.204407855595513e-05,0.0002677282010417059,0.0,2.759574904534526e-05,5.444832951060987e-05,2215,874,973,214,1.7078225066111494,0.7848345438271701,11.905235290844375,2.2778677140753283,0.3655492035697844,6.810230310457621,OPT_CONSTRUCTED,243.92847430007532,,8.349948500050232
