terminal_a_index,terminal_b_index,chain
1244,1248,20
1244,81,8
1244,1200,72
3222,4170,46
3222,3036,67
3222,2528,77
7104,5671,52
7104,6264,2
7104,8557,17
410,810,29
410,581,90
410,81,100
581,1248,47
581,81,79
6571,6590,41
6571,7060,63
6571,5328,97
1248,1566,26
4357,2824,91
4357,4364,18
4357,4474,30
7748,7219,51
7748,7318,64
7748,8547,40
1421,1958,99
1421,1296,22
1421,2881,54
6047,6739,0
6047,7219,80
6047,4399,19
3250,4171,6
3250,3973,95
3250,3243,102
2824,2705,59
2824,2740,66
4413,4605,39
4413,4399,83
4413,4175,5
1566,810,85
1566,2705,58
2528,2656,14
2528,1200,37
4748,5343,50
4748,4605,82
4748,4175,74
2677,6568,48
2677,262,31
2677,1200,45
5009,5048,56
5009,4982,78
5009,4772,3
812,1296,76
812,810,53
812,6568,4
4399,4605,96
7318,7313,7
7318,7194,103
8557,8558,93
8557,8547,60
4171,5343,68
4171,3973,10
3036,3210,70
3036,2656,42
6301,5343,15
6301,7100,44
6301,5671,62
7219,7313,101
3622,2627,12
3622,2881,84
3622,4845,94
5048,4982,11
5048,4845,28
747,746,16
747,830,65
747,262,92
2627,1958,88
2627,2881,98
1296,830,9
7060,7958,38
7060,8553,86
4772,5328,24
4772,4845,75
830,687,32
6590,6264,61
6590,5328,13
6568,687,71
262,746,57
4175,4170,23
4364,4982,55
4364,4474,49
6739,7313,43
6739,7100,73
8547,8558,36
3243,4170,104
3243,3210,33
746,687,34
6264,7958,35
2656,3210,25
8558,8553,69
7194,7100,21
7194,5671,89
8553,7958,81
2705,2740,87
3973,4474,27
2740,1958,1
