terminal_a_index,terminal_b_index,chain
2197,612,220
2197,2002,73
2197,485,22
732,811,206
732,915,139
732,1141,385
3613,3734,406
3613,3204,445
3613,3412,446
716,910,35
716,758,92
716,713,160
3928,3926,398
3928,3978,53
3928,3982,240
1053,1352,239
1053,1080,435
1053,971,163
30,73,390
30,301,14
30,5158,374
5043,5175,427
5043,5079,106
5043,5022,306
5286,5172,430
5286,5253,55
5286,5295,261
5247,5026,121
5247,5253,3
5247,5295,85
668,597,122
668,541,237
668,711,301
2292,1960,138
2292,2367,429
2292,2492,162
2646,2608,262
2646,2615,152
2646,2709,371
4082,4218,408
4082,3853,54
4082,3670,336
3483,3505,308
3483,3506,89
3483,3486,369
2115,2608,453
2115,2095,394
2115,2046,352
4923,4892,426
4923,4810,310
4923,5097,46
1238,1491,91
1238,1283,186
1238,933,161
2976,2999,195
2976,2336,312
2976,3424,419
3203,3204,285
3203,3137,417
3203,2934,256
4196,4304,180
4196,4317,60
4196,4205,284
1179,1180,290
1179,1552,297
1179,964,452
824,994,80
824,853,422
824,844,173
915,764,353
915,1171,381
1350,1447,1
1350,1171,395
1350,1080,66
3383,3469,327
3383,3264,226
3383,3134,383
2114,1783,323
2114,1979,170
2114,2143,2
2631,2911,321
2631,2464,313
2631,2344,421
1752,1724,263
1752,2277,378
1752,2344,465
811,624,247
811,809,105
3204,3137,38
2416,2238,343
2416,2286,191
2416,2417,376
5026,5158,447
5026,689,448
3186,3264,311
3186,3032,449
3186,3191,68
1960,1658,440
1960,1762,386
641,499,466
641,576,99
641,715,211
1080,1352,380
4264,4304,232
4264,4546,363
4264,3963,348
3929,3978,155
3929,3842,377
3929,4166,249
809,624,10
809,692,454
5038,5187,437
5038,5024,48
5038,4967,413
2605,2584,314
2605,2496,231
2605,2144,322
4989,4892,280
4989,4831,94
4989,5022,221
282,338,382
282,336,136
282,51,459
301,73,72
301,447,271
2492,2163,309
2492,2799,255
694,692,189
694,499,238
694,759,434
1622,1220,134
1622,1739,109
1622,1702,222
4045,3867,415
4045,3740,214
4045,4205,339
971,945,250
971,764,338
2770,3081,364
2770,2900,414
2770,2585,176
51,67,49
51,5210,288
4578,4168,7
4578,2966,217
4578,664,230
4644,4645,387
4644,4406,333
4644,4489,334
4740,4739,300
4740,4887,317
4740,4837,115
933,653,298
933,1251,456
1731,1658,16
1731,1641,107
1731,1733,391
4131,4336,61
4131,4129,75
4131,3872,368
1139,1400,67
1139,1641,228
1139,1141,45
4471,4470,340
4471,4516,4
4471,4616,373
3867,4317,192
3867,3529,224
1141,989,291
5210,5129,114
5210,5235,407
2805,3114,258
2805,2968,153
2805,2674,177
1220,1180,355
1220,989,6
964,1235,69
964,1236,264
2336,2163,316
2336,2828,84
1180,909,143
445,541,356
445,711,96
445,231,202
3872,4130,124
3872,3416,59
1762,1733,149
1762,1702,462
338,336,26
338,424,412
3469,3842,234
3469,3416,267
470,447,188
470,347,345
470,653,365
3963,4336,241
3963,3636,359
2900,3081,116
2900,2797,33
336,348,242
2417,2238,253
2417,2756,42
3089,2464,30
3089,3127,324
3089,3231,444
3505,3562,130
3505,3874,95
2362,1985,341
2362,2392,441
2362,2709,39
909,910,431
909,927,179
4746,4076,8
4746,4537,159
4746,4844,436
3515,3651,458
3515,3740,362
3515,3380,337
2615,2608,9
2615,2934,108
4831,4605,52
4831,4854,292
5172,5127,167
5172,5253,236
499,576,28
4892,4782,74
3651,3740,24
3651,3670,168
2344,2317,62
3412,3557,175
3412,3298,257
2968,3368,87
2968,3329,354
1689,1783,467
1689,1714,65
1689,1251,254
2799,2674,399
2799,2800,361
3530,3231,464
3530,3531,50
3530,3636,15
2144,2191,93
2144,2151,401
4470,3907,34
4470,4616,424
4777,4436,203
4777,4681,111
4777,4972,56
4435,3926,25
4435,4456,223
4435,4436,272
5295,67,76
3298,3178,439
3298,3320,98
141,664,51
141,485,117
141,159,329
1702,1739,248
2095,2046,101
2095,1985,246
1352,1656,400
4566,4516,243
4566,4430,190
4566,4592,438
2912,3081,11
2912,2848,265
2912,3134,187
1031,1188,432
1031,1118,205
1031,853,326
3982,3978,389
3982,3842,156
1447,1400,287
1447,1656,283
3191,3032,225
3191,2876,423
4972,4995,294
4972,4682,461
5138,5082,23
5138,5175,384
5138,5187,282
3231,3127,126
5235,4170,342
5235,231,144
4406,3926,367
4406,4456,347
1911,2151,270
1911,1875,125
1911,1903,47
1875,1683,196
1875,1903,404
713,715,302
713,339,295
3562,3557,245
3562,3320,397
3734,4076,119
3734,3557,279
2848,3134,97
2848,2439,207
994,1010,27
994,967,259
3097,2911,276
3097,3120,357
3097,3127,174
541,430,17
3670,3853,209
2464,2317,123
4336,4129,331
3032,2980,320
2003,2966,141
2003,2002,307
2003,593,443
2496,2797,372
2496,2756,229
1733,1739,379
4887,4755,133
4887,4837,83
910,927,252
5158,689,63
348,114,18
348,331,110
927,989,358
2163,2301,349
2966,5127,81
1979,2143,405
1979,1679,335
2709,2559,201
967,1010,199
967,945,100
689,612,178
2151,2584,21
2825,2911,13
2825,2999,463
2825,2321,150
4810,4616,169
4810,4844,396
1010,1118,278
3874,4537,289
3874,4076,305
3529,3531,328
3529,3424,244
4755,4645,330
4755,4681,137
2317,2286,219
4331,4218,416
4331,4516,260
4331,4430,145
1491,1683,140
1491,1283,299
2797,2980,181
5175,5097,212
1658,1641,296
3027,2977,64
3027,3178,274
3027,3114,132
4430,4466,215
2143,2286,70
1783,1775,455
1235,1775,370
1235,1236,135
2828,3235,418
2828,2800,318
576,339,351
5187,5082,158
331,114,375
331,416,269
853,844,442
683,485,366
683,593,183
683,159,41
2002,593,194
764,945,44
2277,2301,200
2277,2321,40
5097,5079,428
3264,3416,388
3486,3506,151
3486,3368,281
4474,4584,172
4474,4317,31
4474,4466,90
3235,3380,185
3235,3328,198
2392,2367,303
2392,2559,411
4166,4130,325
4166,4385,5
4739,4545,457
4739,4636,103
5079,5022,273
4584,4304,233
4584,4546,197
692,759,147
5082,4869,78
2238,2191,113
5024,4869,409
5024,4967,360
3636,3531,235
1775,1679,146
4168,5129,165
4168,4170,410
3178,3114,19
612,5127,210
107,29,216
107,134,71
107,114,286
1903,2439,393
231,67,251
3320,3368,315
5129,4170,218
2321,2301,332
4546,4545,0
4682,4681,213
4682,4995,29
3380,3506,36
2559,2367,193
4636,4545,266
4636,4385,77
2934,2977,392
1985,1656,82
3137,2977,131
4489,4385,86
4489,4645,184
597,624,293
597,430,164
759,758,57
2800,3328,58
1283,1251,37
4129,4130,450
1188,2046,20
1188,1118,129
4837,4854,402
2756,2876,142
347,134,32
347,447,304
4844,4537,88
2585,2439,268
2585,2584,128
3328,3329,420
4466,4205,433
2999,3120,319
4436,4456,425
1714,2191,166
1714,1683,208
3120,3424,104
29,73,182
29,134,346
1679,1571,120
653,1236,127
430,424,79
711,844,227
4782,4592,344
4782,4605,12
4967,4995,157
1400,1171,171
2876,2980,102
758,715,403
4854,4869,451
4218,3907,148
4605,4592,350
1552,1571,275
1552,1724,460
3329,2674,43
416,424,204
416,339,277
1724,1571,118
3853,3907,112
159,664,154
