network,r_max,length_km,r_theory,z_w,z_r,z_f,risk_total,risk_o_p,risk_o_p2,risk_tree,risk_section,risk_internal,risk_structural,bridges,structure_nodes,regular_chains,generalized_chains,ilp_status,ilp_runtime_s,ilp_mip_gap,decomposition_runtime_s
Original P2U MV,,589.3393737389606,171.0,0.0,0.0,0.0,0.002266403030737346,0.0022602489935313885,6.154037205957362e-06,0.0022602489935313885,0.0,3.6126968748129956e-07,5.792767518476063e-06,8921,1426,1590,324,,,,7.076451500004623
Hierarchical road R50,50.0,587.7912027621863,50.0,0.002626960026363423,0.7076023391812866,0.702527559927314,0.0006741924397415692,0.00040882698226124743,0.0002653654574803218,0.00034119257806564107,6.763440419560637e-05,6.387958800059218e-06,0.0002589774986802626,5206,1736,1785,123,OPTIMAL,572.9616575241089,0.008923267903029431,5.490154700004496
Hierarchical road R100,100.0,587.7912027621863,50.0,0.002626960026363423,0.7076023391812866,0.7025250490458106,0.0006741981304110183,0.00040882698226124743,0.00026537114814977086,0.00034119257806564107,6.763440419560637e-05,6.3875012630710765e-06,0.00025898364688669976,5206,1736,1785,123,OPTIMAL,0.37215733528137207,0.049019318487744254,5.407606600027066
Hierarchical road R150,150.0,587.7912027621863,50.0,0.002626960026363423,0.7076023391812866,0.7025250490458106,0.0006741981304110183,0.00040882698226124743,0.00026537114814977086,0.00034119257806564107,6.763440419560637e-05,6.3875012630710765e-06,0.00025898364688669976,5206,1736,1785,123,OPTIMAL,0.22986793518066406,0.049019318487744254,14.485325500019826
Hierarchical road R171,171.0,587.7912027621863,50.0,0.002626960026363423,0.7076023391812866,0.7025250490458106,0.0006741981304110183,0.00040882698226124743,0.00026537114814977086,0.00034119257806564107,6.763440419560637e-05,6.3875012630710765e-06,0.00025898364688669976,5206,1736,1785,123,OPTIMAL,0.35815930366516113,0.049019318487744254,13.732669399993028
