Node,OH,
SM1     ,A ,
SM2     ,A ,
SM3     ,A ,
SM4     ,A ,
SM5     ,A ,
SM7     ,A ,
SM9     ,A ,
SM10    ,A ,
SM11    ,A ,
SM12    ,A ,
SM13    ,A ,
SM14    ,A ,
SM15    ,A ,
SM16    ,A ,
SM17    ,A ,
SM18    ,A ,
SM19    ,A ,
SM20    ,A ,
SM21    ,A ,
SM22    ,A ,
SM23    ,A ,
SM24    ,A ,
SM25    ,A ,
SM26    ,A ,
SM27    ,A ,
SM28    ,S ,
SM29    ,S ,
SM30    ,A ,
SM31    ,S ,
SM32    ,S ,
SM33    ,S ,
SM34    ,S ,
SM35    ,S ,
SM36    ,S ,
SM37    ,S ,
SM38    ,S ,
SM39    ,A ,
SM40    ,S ,
SM41    ,S ,
SM42    ,S ,
SM43    ,S ,
SM44    ,S ,
SM45    ,S ,
SM46    ,S ,
SM47    ,A ,
SM48    ,S ,
SM49    ,S ,
SM50    ,S ,
SM51    ,S ,
SM52    ,S ,
SM53    ,S ,
SM54    ,A ,
SM55    ,S ,
SM56    ,S ,
SM57    ,A ,
SM58    ,S ,
SM59    ,S ,
SM60    ,A ,
SM61    ,A ,
SM62    ,S ,
SM63    ,S ,
SM64    ,S ,
SM65    ,A ,
SM66    ,S ,
SM67    ,S ,
SM68    ,S ,
SM69    ,S ,
SM70    ,S ,
SM71    ,A ,
SM72    ,S ,
SM73    ,S ,
SM74    ,S ,
SM75    ,S ,
SM76    ,S ,
SM77    ,A ,
SM78    ,A ,
SM79    ,S ,
SM80    ,S ,
SM81    ,S ,
SM82    ,S ,
SM83    ,A ,
SM84    ,A ,
SM85    ,S ,
SM86    ,S ,
SM87    ,S ,
SM88    ,S ,
SM89    ,S ,
SM90    ,A ,
SM91    ,A ,
SM92    ,S ,
SM93    ,S ,
SM94    ,S ,
SM95    ,S ,
SM96    ,S ,
SM97    ,S ,
SM98    ,A ,
SM99    ,S ,
SM100   ,A ,
SM101   ,S ,
SM102   ,S ,
SM103   ,S ,
SM104   ,S ,
SM105   ,A ,
SM106   ,S ,
SM107   ,S ,
SM108   ,A ,
SM109   ,S ,
SM110   ,S ,
SM111   ,A ,
SM112   ,A ,
SM113   ,S ,
SM114   ,S ,
SM115   ,S ,
SM116   ,A ,
SM117   ,A ,
SM118   ,A ,
SM119   ,S ,
SM120   ,A ,
SM121   ,S ,
SM122   ,A ,
SM123   ,S ,
SM124   ,A ,
SM125   ,S ,
SM126   ,A ,
SM127   ,A ,
SM128   ,S ,
SM129   ,A ,
SM130   ,S ,
SM131   ,S ,
SM132   ,A ,
SM133   ,A ,
SM134   ,A ,
SM135   ,S ,
SM136   ,A ,
SM137   ,A ,
SM138   ,A ,
SM139   ,S ,
SM140   ,S ,
SM141   ,S ,
SM142   ,A ,
SM143   ,S ,
SM144   ,A ,
SM145   ,A ,
SM146   ,A ,
SM147   ,S ,
SM148   ,S ,
SM149   ,S ,
SM150   ,S ,
SM151   ,S ,
SM152   ,S ,
SM153   ,A ,
SM154   ,S ,
SM155   ,S ,
SM156   ,S ,
SM157   ,A ,
SM158   ,S ,
SM159   ,A ,
SM160   ,A ,
SM161   ,A ,
SM162   ,A ,
SM163   ,S ,
SM164   ,S ,
SM165   ,S ,
SM166   ,S ,
SM167   ,A ,
SM168   ,A ,
SM169   ,S ,
SM170   ,S ,
SM171   ,S ,
SM172   ,S ,
SM173   ,S ,
SM174   ,S ,
SM175   ,A ,
SM176   ,A ,
SM177   ,S ,
SM178   ,A ,
SM179   ,S ,
SM180   ,S ,
SM181   ,S ,
SM182   ,S ,
SM183   ,A ,
SM184   ,A ,
SM185   ,S ,
SM186   ,A ,
SM187   ,S ,
SM188   ,S ,
SM189   ,S ,
SM190   ,S ,
SM191   ,S ,
SM192   ,A ,
SM193   ,S ,
SM194   ,S ,
SM195   ,A ,
SM196   ,S ,
SM197   ,S ,
SM198   ,S ,
SM199   ,A ,
SM200   ,S ,
SM201   ,A ,
SM202   ,A ,
SM203   ,S ,
SM204   ,S ,
SM205   ,S ,
SM206   ,S ,
SM207   ,A ,
SM208   ,A ,
SM209   ,S ,
SM210   ,S ,
SM211   ,A ,
SM212   ,S ,
SM213   ,A ,
SM214   ,S ,
SM215   ,S ,
SM216   ,S ,
SM217   ,S ,
SM218   ,A ,
SM219   ,S ,
SM220   ,A ,
SM221   ,A ,
SM222   ,S ,
SM223   ,S ,
SM224   ,A ,
SM225   ,S ,
SM226   ,S ,
SM227   ,S ,
SM228   ,S ,
SM229   ,S ,
SM230   ,S ,
SM231   ,A ,
SM232   ,A ,
SM233   ,A ,
SM234   ,S ,
SM235   ,A ,
SM236   ,S ,
SM237   ,S ,
SM238   ,A ,
SM239   ,S ,
SM240   ,A ,
SM241   ,A ,
SM242   ,S ,
SM243   ,S ,
SM244   ,S ,
SM245   ,A ,
SM246   ,S ,
SM247   ,S ,
SM248   ,S ,
SM249   ,A ,
SM250   ,S ,
SM251   ,S ,
SM252   ,S ,
SM253   ,S ,
SM254   ,A ,
SM255   ,A ,
SM256   ,A ,
SM257   ,S ,
SM258   ,S ,
SM259   ,S ,
SM260   ,S ,
SM261   ,S ,
SM262   ,A ,
SM263   ,S ,
SM264   ,S ,
SM265   ,A ,
SM266   ,S ,
SM267   ,A ,
SM268   ,A ,
SM269   ,S ,
SM270   ,S ,
SM271   ,S ,
SM272   ,S ,
SM273   ,S ,
SM274   ,S ,
SM275   ,S ,
SM276   ,S ,
SM277   ,S ,
SM278   ,S ,
SM279   ,S ,
SM280   ,A ,
SM281   ,S ,
SM282   ,A ,
SM283   ,S ,
SM284   ,S ,
SM285   ,S ,
SM286   ,S ,
SM287   ,A ,
SM288   ,S ,
SM289   ,S ,
SM290   ,S ,
SM291   ,S ,
SM292   ,S ,
SM293   ,S ,
SM294   ,S ,
SM295   ,A ,
SM296   ,S ,
SM297   ,S ,
SM298   ,S ,
SM299   ,S ,
SM300   ,A ,
SM301   ,S ,
SM302   ,S ,
SM303   ,S ,
SM304   ,S ,
SM305   ,S ,
SM306   ,A ,
SM307   ,S ,
SM308   ,A ,
SM309   ,S ,
SM310   ,S ,
SM311   ,A ,
SM312   ,S ,
SM313   ,S ,
SM314   ,S ,
SM315   ,S ,
SM316   ,S ,
SM317   ,S ,
SM318   ,S ,
SM319   ,S ,
SM320   ,S ,
SM321   ,A ,
SM322   ,S ,
SM323   ,S ,
SM324   ,A ,
SM325   ,S ,
SM326   ,S ,
SM327   ,S ,
SM328   ,S ,
SM329   ,S ,
SM330   ,A ,
SM331   ,S ,
SM332   ,A ,
SM333   ,S ,
SM334   ,A ,
SM335   ,S ,
SM336   ,S ,
SM337   ,A ,
SM338   ,S ,
SM339   ,S ,
SM340   ,S ,
SM341   ,A ,
SM342   ,S ,
SM343   ,A ,
SM344   ,S ,
SM345   ,A ,
SM346   ,A ,
SM347   ,S ,
SM348   ,S ,
SM349   ,A ,
SM350   ,S ,
SM351   ,S ,
SM352   ,S ,
SM353   ,S ,
SM354   ,A ,
SM355   ,A ,
SM356   ,S ,
SM357   ,A ,
SM358   ,S ,
SM359   ,A ,
SM360   ,S ,
SM361   ,S ,
SM362   ,S ,
SM363   ,S ,
SM364   ,S ,
SM365   ,A ,
SM366   ,A ,
SM367   ,S ,
SM368   ,A ,
SM369   ,S ,
SM370   ,S ,
SM371   ,S ,
SM372   ,A ,
SM373   ,S ,
SM374   ,S ,
SM375   ,A ,
SM376   ,A ,
SM377   ,A ,
SM378   ,S ,
SM379   ,S ,
SM380   ,S ,
SM381   ,S ,
SM382   ,A ,
SM383   ,A ,
SM384   ,A ,
SM385   ,S ,
SM386   ,A ,
SM387   ,A ,
SM388   ,S ,
SM389   ,S ,
SM390   ,S ,
SM391   ,S ,
SM392   ,S ,
SM393   ,S ,
SM394   ,S ,
SM395   ,S ,
SM396   ,A ,
SM397   ,A ,
SM398   ,A ,
SM399   ,A ,
SM400   ,S ,
SM401   ,S ,
SM402   ,A ,
SM403   ,S ,
SM404   ,A ,
SM405   ,S ,
SM406   ,S ,
SM407   ,A ,
SM408   ,S ,
SM409   ,A ,
SM410   ,A ,
SM411   ,S ,
SM412   ,S ,
SM413   ,S ,
SM414   ,A ,
SM415   ,S ,
SM416   ,A ,
SM417   ,S ,
SM418   ,S ,
SM419   ,A ,
SM420   ,A ,
SM421   ,A ,
SM422   ,S ,
SM423   ,A ,
SM424   ,S ,
SM425   ,S ,
SM426   ,S ,
SM427   ,S ,
SM428   ,S ,
SM429   ,S ,
SM430   ,S ,
SM431   ,S ,
SM432   ,S ,
SM433   ,S ,
SM434   ,S ,
SM435   ,S ,
SM436   ,A ,
SM437   ,S ,
SM438   ,A ,
SM439   ,S ,
SM440   ,A ,
SM441   ,A ,
SM442   ,S ,
SM443   ,S ,
SM444   ,S ,
SM445   ,S ,
SM446   ,S ,
SM447   ,S ,
SM448   ,S ,
SM449   ,S ,
SM450   ,S ,
SM451   ,S ,
SM452   ,S ,
SM453   ,S ,
SM454   ,S ,
SM455   ,S ,
SM456   ,S ,
SM457   ,A ,
SM458   ,S ,
SM459   ,S ,
SM460   ,A ,
SM461   ,A ,
SM462   ,S ,
SM463   ,S ,
SM464   ,A ,
SM465   ,A ,
SM466   ,S ,
SM467   ,S ,
SM468   ,A ,
SM469   ,S ,
SM470   ,S ,
SM471   ,S ,
SM472   ,S ,
SM473   ,S ,
SM474   ,S ,
SM475   ,S ,
SM476   ,S ,
SM477   ,S ,
SM478   ,S ,
SM479   ,S ,
SM480   ,S ,
SM481   ,S ,
SM482   ,S ,
SM483   ,S ,
SM484   ,S ,
SM485   ,S ,
SM486   ,A ,
SM487   ,S ,
SM488   ,S ,
SM489   ,S ,
SM490   ,A ,
SM491   ,S ,
SM492   ,S ,
SM493   ,A ,
SM494   ,S ,
SM495   ,A ,
SM496   ,S ,
SM497   ,A ,
SM498   ,S ,
SM499   ,S ,
SM500   ,A ,
SM501   ,S ,
SM502   ,S ,
SM503   ,S ,
SM504   ,S ,
SM505   ,S ,
SM506   ,S ,
SM507   ,S ,
SM508   ,S ,
SM509   ,S ,
SM510   ,A ,
SM511   ,S ,
SM512   ,S ,
SM513   ,S ,
SM514   ,A ,
SM515   ,S ,
SM516   ,S ,
SM517   ,S ,
SM518   ,A ,
SM519   ,S ,
SM520   ,A ,
SM521   ,S ,
SM522   ,A ,
SM523   ,A ,
SM524   ,S ,
SM525   ,S ,
SM527   ,S ,
SM528   ,S ,
SM529   ,A ,
SM530   ,S ,
SM531   ,S ,
SM532   ,S ,
SM533   ,S ,
SM534   ,S ,
SM535   ,A ,
SM536   ,S ,
SM537   ,S ,
SM538   ,S ,
SM539   ,S ,
SM540   ,A ,
SM542   ,S ,
SM543   ,S ,
SM544   ,S ,
SM545   ,A ,
SM546   ,S ,
SM547   ,S ,
SM548   ,S ,
SM549   ,S ,
SM550   ,A ,
SM551   ,A ,
SM552   ,S ,
SM553   ,S ,
SM554   ,A ,
SM555   ,S ,
SM556   ,A ,
SM557   ,S ,
SM558   ,S ,
SM559   ,S ,
SM560   ,S ,
SM561   ,S ,
SM562   ,A ,
SM563   ,S ,
SM564   ,S ,
SM565   ,A ,
SM566   ,S ,
SM567   ,S ,
SM568   ,S ,
SM569   ,A ,
SM570   ,S ,
SM571   ,S ,
SM572   ,S ,
SM573   ,A ,
SM574   ,S ,
SM575   ,S ,
SM576   ,S ,
SM577   ,S ,
SM578   ,S ,
SM579   ,S ,
SM580   ,S ,
SM581   ,S ,
SM582   ,A ,
SM583   ,S ,
SM584   ,A ,
SM585   ,S ,
SM586   ,A ,
SM588   ,S ,
SM589   ,A ,
SM590   ,S ,
SM591   ,S ,
SM592   ,S ,
SM593   ,A ,
SM594   ,S ,
SM595   ,S ,
SM596   ,S ,
SM597   ,S ,
SM598   ,A ,
SM599   ,A ,
SM600   ,S ,
SM601   ,S ,
SM602   ,A ,
SM603   ,S ,
SM604   ,A ,
SM605   ,S ,
SM606   ,S ,
SM607   ,S ,
SM608   ,S ,
SM609   ,S ,
SM610   ,A ,
SM611   ,A ,
SM612   ,A ,
SM613   ,A ,
SM614   ,S ,
SM615   ,A ,
SM616   ,S ,
SM617   ,S ,
SM618   ,A ,
SM619   ,S ,
SM620   ,A ,
SM621   ,S ,
SM622   ,A ,
SM623   ,S ,
SM624   ,A ,
SM625   ,A ,
SM626   ,A ,
SM627   ,S ,
SM628   ,S ,
SM629   ,S ,
SM630   ,S ,
SM631   ,S ,
SM632   ,S ,
SM633   ,A ,
SM634   ,S ,
SM635   ,S ,
SM636   ,A ,
SM637   ,S ,
SM638   ,S ,
SM639   ,A ,
SM640   ,S ,
SM641   ,S ,
SM642   ,S ,
SM643   ,S ,
SM644   ,S ,
SM645   ,S ,
SM646   ,S ,
SM647   ,S ,
SM648   ,S ,
SM649   ,S ,
SM650   ,S ,
SM651   ,S ,
SM652   ,A ,
SM653   ,S ,
SM654   ,S ,
SM655   ,A ,
SM656   ,A ,
SM657   ,A ,
SM658   ,S ,
SM659   ,S ,
SM660   ,S ,
SM661   ,S ,
SM662   ,S ,
SM663   ,S ,
SM664   ,A ,
SM665   ,S ,
SM666   ,S ,
SM667   ,A ,
SM668   ,S ,
SM669   ,S ,
SM670   ,S ,
SM671   ,S ,
SM672   ,A ,
SM673   ,S ,
SM674   ,S ,
SM675   ,S ,
SM676   ,S ,
SM677   ,S ,
SM678   ,S ,
SM679   ,S ,
SM680   ,S ,
SM681   ,S ,
SM682   ,A ,
SM683   ,S ,
SM684   ,S ,
SM685   ,S ,
SM686   ,S ,
SM687   ,S ,
SM688   ,S ,
SM689   ,S ,
SM690   ,A ,
SM691   ,S ,
SM692   ,A ,
SM693   ,S ,
