Node,OH,
SM694   ,S ,
SM695   ,A ,
SM696   ,S ,
SM697   ,S ,
SM698   ,S ,
SM699   ,A ,
SM700   ,S ,
SM701   ,S ,
SM702   ,S ,
SM703   ,S ,
SM704   ,A ,
SM705   ,S ,
SM706   ,S ,
SM707   ,S ,
SM708   ,S ,
SM709   ,S ,
SM710   ,S ,
SM711   ,S ,
SM712   ,A ,
SM713   ,S ,
SM714   ,S ,
SM715   ,S ,
SM716   ,S ,
SM717   ,S ,
SM718   ,S ,
SM719   ,S ,
SM720   ,S ,
SM721   ,S ,
SM722   ,S ,
SM723   ,S ,
SM724   ,A ,
SM725   ,S ,
SM726   ,S ,
SM727   ,S ,
SM728   ,S ,
SM729   ,S ,
SM730   ,S ,
SM731   ,S ,
SM732   ,A ,
SM733   ,S ,
SM734   ,S ,
SM735   ,S ,
SM736   ,S ,
SM737   ,S ,
SM738   ,A ,
SM739   ,S ,
SM740   ,S ,
SM741   ,S ,
SM742   ,S ,
SM743   ,S ,
SM744   ,S ,
SM745   ,S ,
SM746   ,S ,
SM747   ,S ,
SM748   ,S ,
SM749   ,S ,
SM750   ,A ,
SM751   ,S ,
SM752   ,S ,
SM753   ,A ,
SM754   ,S ,
SM755   ,S ,
SM756   ,S ,
SM757   ,A ,
SM758   ,S ,
SM759   ,S ,
SM760   ,S ,
SM761   ,S ,
SM762   ,A ,
SM763   ,S ,
SM764   ,S ,
SM765   ,S ,
SM766   ,S ,
SM768   ,S ,
SM769   ,S ,
SM770   ,A ,
SM771   ,S ,
SM772   ,S ,
SM773   ,S ,
SM774   ,S ,
SM775   ,S ,
SM776   ,S ,
SM777   ,S ,
SM778   ,S ,
SM779   ,A ,
SM780   ,A ,
SM781   ,S ,
SM782   ,S ,
SM783   ,A ,
SM784   ,S ,
SM785   ,S ,
SM786   ,S ,
SM787   ,S ,
SM788   ,S ,
SM789   ,S ,
SM790   ,S ,
SM791   ,S ,
SM792   ,S ,
SM793   ,A ,
SM794   ,S ,
SM795   ,S ,
SM796   ,S ,
SM797   ,S ,
SM798   ,S ,
SM799   ,S ,
SM800   ,S ,
SM801   ,S ,
SM802   ,S ,
SM803   ,S ,
SM804   ,S ,
SM805   ,S ,
SM806   ,S ,
SM807   ,A ,
SM808   ,S ,
SM809   ,S ,
SM810   ,S ,
SM811   ,S ,
SM812   ,S ,
SM813   ,A ,
SM814   ,S ,
SM815   ,S ,
SM816   ,S ,
SM817   ,S ,
SM818   ,S ,
SM819   ,S ,
SM820   ,S ,
SM821   ,S ,
SM822   ,S ,
SM823   ,S ,
SM824   ,S ,
SM825   ,S ,
SM826   ,S ,
SM827   ,S ,
SM828   ,S ,
SM829   ,S ,
SM830   ,S ,
SM831   ,S ,
SM832   ,A ,
SM833   ,S ,
SM834   ,S ,
SM835   ,S ,
SM836   ,S ,
SM837   ,S ,
SM838   ,S ,
SM839   ,S ,
SM840   ,A ,
SM841   ,S ,
SM842   ,S ,
SM843   ,S ,
SM844   ,A ,
SM845   ,S ,
SM846   ,S ,
SM847   ,S ,
SM848   ,S ,
SM849   ,S ,
SM850   ,S ,
SM851   ,S ,
SM852   ,S ,
SM853   ,S ,
SM854   ,A ,
SM855   ,S ,
SM856   ,S ,
SM857   ,S ,
SM858   ,S ,
SM859   ,S ,
SM860   ,S ,
SM861   ,S ,
SM862   ,S ,
SM863   ,A ,
SM864   ,S ,
SM865   ,S ,
SM866   ,S ,
SM867   ,S ,
SM868   ,S ,
SM869   ,S ,
SM870   ,S ,
SM871   ,A ,
SM872   ,S ,
SM873   ,S ,
SM874   ,S ,
SM875   ,S ,
SM876   ,S ,
SM877   ,S ,
SM878   ,S ,
SM879   ,A ,
SM880   ,S ,
SM881   ,S ,
SM882   ,S ,
SM883   ,S ,
SM884   ,S ,
SM885   ,S ,
SM886   ,A ,
SM887   ,S ,
SM888   ,S ,
SM889   ,S ,
SM890   ,A ,
SM891   ,S ,
SM892   ,S ,
SM893   ,A ,
SM894   ,A ,
SM895   ,A ,
SM896   ,S ,
SM897   ,S ,
SM898   ,S ,
SM899   ,S ,
SM900   ,A ,
SM901   ,S ,
SM902   ,S ,
SM903   ,S ,
SM904   ,S ,
SM905   ,A ,
SM906   ,S ,
SM907   ,A ,
SM908   ,S ,
SM909   ,A ,
SM910   ,S ,
SM911   ,S ,
SM912   ,S ,
SM913   ,S ,
SM914   ,S ,
SM915   ,S ,
SM916   ,S ,
SM917   ,S ,
SM918   ,S ,
SM919   ,S ,
SM920   ,A ,
SM921   ,S ,
SM922   ,S ,
SM923   ,S ,
SM924   ,S ,
SM925   ,S ,
SM926   ,S ,
SM927   ,A ,
SM928   ,S ,
SM929   ,A ,
SM930   ,A ,
SM931   ,A ,
SM932   ,S ,
SM933   ,A ,
SM934   ,S ,
SM935   ,A ,
SM936   ,A ,
SM937   ,A ,
SM938   ,S ,
SM939   ,A ,
SM940   ,A ,
SM941   ,A ,
SM942   ,S ,
SM943   ,S ,
SM944   ,S ,
SM945   ,A ,
SM946   ,A ,
SM947   ,S ,
SM948   ,A ,
SM949   ,A ,
SM950   ,A ,
SM951   ,S ,
SM952   ,A ,
SM953   ,A ,
SM954   ,S ,
SM955   ,S ,
SM956   ,A ,
SM957   ,A ,
SM958   ,A ,
SM959   ,S ,
SM960   ,A ,
SM961   ,A ,
SM962   ,S ,
SM963   ,S ,
SM964   ,A ,
SM965   ,S ,
SM966   ,S ,
SM967   ,A ,
SM968   ,S ,
SM969   ,S ,
SM970   ,S ,
SM971   ,S ,
SM972   ,S ,
SM973   ,S ,
SM974   ,S ,
SM975   ,S ,
SM976   ,S ,
SM977   ,S ,
SM978   ,S ,
SM979   ,S ,
SM980   ,S ,
SM981   ,S ,
SM982   ,S ,
SM983   ,A ,
SM984   ,S ,
SM985   ,S ,
SM986   ,S ,
SM987   ,A ,
SM988   ,S ,
SM989   ,S ,
SM990   ,S ,
SM991   ,S ,
SM992   ,S ,
SM993   ,S ,
SM994   ,S ,
SM995   ,S ,
SM996   ,S ,
SM997   ,A ,
SM998   ,S ,
SM999   ,S ,
SM1000  ,S ,
SM1001  ,A ,
SM1002  ,S ,
SM1003  ,S ,
SM1004  ,S ,
SM1005  ,S ,
SM1006  ,S ,
SM1007  ,S ,
SM1008  ,S ,
SM1009  ,S ,
SM1010  ,A ,
SM1011  ,S ,
SM1012  ,S ,
SM1013  ,A ,
SM1014  ,S ,
SM1015  ,S ,
SM1016  ,A ,
SM1017  ,S ,
SM1018  ,S ,
SM1019  ,S ,
SM1020  ,S ,
SM1021  ,S ,
SM1022  ,S ,
SM1023  ,S ,
SM1024  ,S ,
SM1025  ,S ,
SM1026  ,S ,
SM1027  ,S ,
SM1028  ,S ,
SM1029  ,S ,
SM1030  ,S ,
SM1031  ,S ,
SM1032  ,S ,
SM1033  ,S ,
SM1034  ,S ,
SM1035  ,S ,
SM1036  ,S ,
SM1037  ,S ,
SM1038  ,S ,
SM1039  ,S ,
SM1040  ,A ,
SM1041  ,S ,
SM1042  ,S ,
SM1043  ,S ,
SM1044  ,S ,
SM1045  ,S ,
SM1046  ,S ,
SM1047  ,A ,
SM1048  ,S ,
SM1049  ,S ,
SM1050  ,A ,
SM1051  ,S ,
SM1052  ,S ,
SM1053  ,S ,
SM1054  ,S ,
SM1055  ,S ,
SM1056  ,S ,
SM1057  ,S ,
SM1058  ,S ,
SM1059  ,A ,
SM1060  ,A ,
SM1061  ,S ,
SM1062  ,S ,
SM1063  ,S ,
SM1064  ,S ,
SM1065  ,S ,
SM1066  ,S ,
SM1067  ,S ,
SM1068  ,S ,
SM1069  ,S ,
SM1070  ,S ,
SM1071  ,S ,
SM1072  ,S ,
SM1073  ,S ,
SM1074  ,S ,
SM1075  ,S ,
SM1076  ,S ,
SM1077  ,S ,
SM1078  ,S ,
SM1079  ,S ,
SM1080  ,S ,
SM1081  ,S ,
SM1082  ,S ,
SM1083  ,S ,
SM1084  ,A ,
SM1085  ,S ,
SM1086  ,S ,
SM1087  ,A ,
SM1088  ,S ,
SM1089  ,S ,
SM1090  ,S ,
SM1091  ,S ,
SM1092  ,A ,
SM1093  ,S ,
SM1094  ,S ,
SM1095  ,S ,
SM1096  ,S ,
SM1097  ,S ,
SM1098  ,S ,
SM1099  ,S ,
SM1100  ,S ,
SM1101  ,S ,
SM1102  ,S ,
SM1103  ,A ,
SM1104  ,S ,
SM1105  ,S ,
SM1106  ,A ,
SM1107  ,A ,
SM1108  ,A ,
SM1109  ,A ,
SM1110  ,S ,
SM1111  ,S ,
SM1112  ,S ,
SM1113  ,A ,
SM1114  ,S ,
SM1115  ,S ,
SM1116  ,A ,
SM1117  ,A ,
SM1118  ,S ,
SM1120  ,S ,
SM1121  ,S ,
SM1122  ,S ,
SM1123  ,S ,
SM1124  ,S ,
SM1125  ,S ,
SM1126  ,S ,
SM1127  ,A ,
SM1128  ,S ,
SM1129  ,S ,
SM1130  ,S ,
SM1131  ,A ,
SM1132  ,S ,
SM1133  ,S ,
SM1134  ,A ,
SM1135  ,S ,
SM1136  ,S ,
SM1137  ,S ,
SM1138  ,S ,
SM1139  ,S ,
SM1140  ,A ,
SM1141  ,A ,
SM1142  ,S ,
SM1143  ,S ,
SM1144  ,S ,
SM1145  ,A ,
SM1146  ,S ,
SM1147  ,S ,
SM1148  ,S ,
SM1149  ,S ,
SM1150  ,A ,
SM1151  ,S ,
SM1153  ,S ,
SM1154  ,S ,
SM1155  ,S ,
SM1156  ,S ,
SM1157  ,S ,
SM1158  ,S ,
SM1159  ,A ,
SM1160  ,S ,
SM1161  ,S ,
SM1162  ,S ,
SM1163  ,S ,
SM1164  ,S ,
SM1165  ,S ,
SM1166  ,S ,
SM1167  ,S ,
SM1168  ,S ,
SM1169  ,S ,
SM1170  ,S ,
SM1171  ,S ,
SM1172  ,S ,
SM1173  ,A ,
SM1174  ,A ,
SM1175  ,S ,
SM1176  ,S ,
SM1177  ,S ,
SM1178  ,S ,
SM1179  ,S ,
SM1180  ,S ,
SM1181  ,S ,
SM1182  ,S ,
SM1183  ,A ,
SM1184  ,A ,
SM1185  ,A ,
SM1186  ,S ,
SM1187  ,A ,
SM1188  ,A ,
SM1190  ,S ,
SM1191  ,A ,
SM1192  ,S ,
SM1193  ,A ,
SM1194  ,S ,
SM1195  ,A ,
SM1196  ,S ,
SM1197  ,A ,
SM1198  ,A ,
SM1199  ,A ,
SM1200  ,A ,
SM1201  ,S ,
SM1202  ,A ,
SM1203  ,A ,
SM1204  ,A ,
SM1205  ,S ,
SM1206  ,S ,
SM1207  ,S ,
SM1208  ,A ,
SM1209  ,S ,
SM1210  ,A ,
SM1211  ,S ,
SM1212  ,S ,
SM1213  ,S ,
SM1214  ,S ,
SM1215  ,S ,
SM1216  ,S ,
SM1217  ,S ,
SM1218  ,S ,
SM1219  ,S ,
SM1220  ,A ,
SM1221  ,S ,
SM1222  ,S ,
SM1223  ,S ,
SM1224  ,S ,
SM1225  ,S ,
SM1226  ,S ,
SM1227  ,A ,
SM1228  ,A ,
SM1229  ,S ,
SM1230  ,S ,
SM1231  ,A ,
SM1232  ,S ,
SM1233  ,S ,
SM1234  ,A ,
SM1235  ,A ,
SM1236  ,S ,
SM1237  ,S ,
SM1238  ,S ,
SM1239  ,S ,
SM1240  ,A ,
SM1241  ,S ,
SM1242  ,S ,
SM1243  ,S ,
SM1244  ,A ,
SM1245  ,S ,
SM1246  ,A ,
SM1247  ,S ,
SM1248  ,A ,
SM1249  ,S ,
SM1250  ,S ,
SM1251  ,A ,
SM1252  ,A ,
SM1253  ,S ,
SM1254  ,S ,
SM1255  ,S ,
SM1256  ,A ,
SM1257  ,S ,
SM1258  ,S ,
SM1259  ,S ,
SM1260  ,S ,
SM1261  ,S ,
SM1262  ,A ,
SM1263  ,S ,
SM1264  ,S ,
SM1265  ,S ,
SM1266  ,A ,
SM1267  ,S ,
SM1268  ,S ,
SM1269  ,S ,
SM1270  ,S ,
SM1271  ,S ,
SM1272  ,S ,
SM1273  ,A ,
SM1274  ,S ,
SM1275  ,S ,
SM1276  ,S ,
SM1277  ,A ,
SM1278  ,S ,
SM1279  ,S ,
SM1280  ,A ,
SM1281  ,A ,
SM1282  ,A ,
SM1283  ,S ,
SM1284  ,S ,
SM1285  ,S ,
SM1286  ,S ,
SM1287  ,S ,
SM1288  ,S ,
SM1289  ,A ,
SM1290  ,S ,
SM1291  ,S ,
SM1292  ,S ,
SM1293  ,S ,
SM1294  ,S ,
SM1295  ,S ,
SM1296  ,S ,
SM1297  ,S ,
SM1298  ,S ,
SM1299  ,S ,
SM1300  ,S ,
SM1301  ,S ,
SM1302  ,A ,
SM1303  ,S ,
SM1304  ,S ,
SM1305  ,S ,
SM1306  ,A ,
SM1307  ,A ,
SM1308  ,S ,
SM1309  ,A ,
SM1310  ,S ,
SM1311  ,S ,
SM1312  ,S ,
SM1313  ,S ,
SM1314  ,S ,
SM1315  ,S ,
SM1316  ,S ,
SM1317  ,S ,
SM1318  ,S ,
SM1319  ,S ,
SM1320  ,S ,
SM1321  ,S ,
SM1322  ,S ,
SM1323  ,A ,
SM1324  ,S ,
SM1325  ,S ,
SM1326  ,A ,
SM1327  ,S ,
SM1328  ,S ,
SM1329  ,S ,
SM1330  ,S ,
SM1331  ,S ,
SM1332  ,A ,
SM1333  ,S ,
SM1334  ,S ,
SM1335  ,S ,
SM1336  ,S ,
SM1337  ,S ,
SM1338  ,S ,
SM1339  ,S ,
SM1340  ,S ,
SM1341  ,S ,
SM1342  ,S ,
SM1343  ,A ,
SM1344  ,S ,
SM1345  ,S ,
SM1346  ,A ,
SM1347  ,S ,
SM1348  ,S ,
SM1349  ,S ,
SM1350  ,S ,
SM1351  ,S ,
SM1352  ,S ,
SM1353  ,S ,
SM1354  ,S ,
SM1355  ,S ,
SM1356  ,A ,
SM1357  ,S ,
SM1358  ,S ,
SM1359  ,S ,
SM1360  ,S ,
SM1361  ,S ,
SM1362  ,A ,
SM1363  ,A ,
SM1364  ,A ,
SM1365  ,A ,
SM1366  ,S ,
SM1367  ,A ,
SM1368  ,S ,
SM1369  ,S ,
SM1370  ,S ,
