network,r_request,length_km,r_theory,z_w,z_r,z_f,z_f_p,z_f_p2,risk_total,risk_o_p,risk_o_p2,risk_tree,risk_section,risk_internal,risk_structural,bridges,structure_nodes,regular_chains,generalized_chains,gen_lambda_mean_km,gen_lambda_sigma_over_mean,gen_lambda_max_km,gen_physical_lambda_mean_km,gen_physical_lambda_sigma_over_mean,gen_physical_lambda_max_km,ilp_status,ilp_runtime_s,ilp_mip_gap,decomposition_runtime_s
Original P2U MV,,589.3393737389606,171.0,0.0,0.0,0.0,0.0,0.0,0.002266403030737346,0.0022602489935313885,6.154037205957362e-06,0.0022602489935313885,0.0,3.6126968748129956e-07,5.792767518476063e-06,8921,1426,1590,324,0.32438624119615833,1.4544548514510407,4.037640858950004,0.5314570701097132,0.820648118104175,4.1324511120854055,,,,7.7233769000158645
OPT hierarchy R50,50.0,767.3484804756425,50.0,-0.30204855583860657,0.7076023391812866,0.79872520992607,0.8616860146945746,-22.325459913975966,0.00045616979423457793,0.00031262404607790284,0.00014354574815667512,0.00031262404607790284,0.0,3.6409677886655117e-06,0.0001399047803680096,6532,2512,2561,117,3.1127364092606897,0.6993638560873499,11.784835846794113,4.6978484556115125,0.41336241607291013,11.958128286489199,OPT_CONSTRUCTED,42.39978879998671,,27.246593400021084
