network,r_request,length_km,r_theory,z_w,z_r,z_f,z_f_p,z_f_p2,risk_total,risk_o_p,risk_o_p2,risk_tree,risk_section,risk_internal,risk_structural,bridges,structure_nodes,regular_chains,generalized_chains,gen_lambda_mean_km,gen_lambda_sigma_over_mean,gen_lambda_max_km,gen_physical_lambda_mean_km,gen_physical_lambda_sigma_over_mean,gen_physical_lambda_max_km,ilp_status,ilp_runtime_s,ilp_mip_gap,decomposition_runtime_s
Original P2U MV,,589.3393737389606,171.0,0.0,0.0,0.0,0.0,0.0,0.002266403030737346,0.0022602489935313885,6.154037205957362e-06,0.0022602489935313885,0.0,3.6126968748129956e-07,5.792767518476063e-06,8921,1426,1590,324,0.32438624119615833,1.4544548514510407,4.037640858950004,0.5314570701097132,0.820648118104175,4.1324511120854055,,,,7.7233769000158645
OPT hierarchy R50,50.0,779.6536591501082,60.0,-0.32292816989934336,0.6491228070175439,0.8281687944122444,0.8635902628812995,-12.181394810286598,0.0003894387651193411,0.0003083199710304241,8.111879408891701e-05,0.0003083199710304241,0.0,3.9721411951839596e-06,7.714665289373305e-05,6531,2517,2576,158,2.3718249453434317,0.7096079328310799,10.428714241323792,3.562102762004349,0.37117064828826235,10.143099678798523,OPT_CONSTRUCTED,56.02468799997587,,27.510856800014153
