Node_A,Node_B,
SM30     ,SM29     ,
SM31     ,SM29     ,
SM31     ,SM33     ,
SM33     ,SM35     ,
SM33     ,SM34     ,
SM34     ,SM36     ,
SM36     ,SM35     ,
SM36     ,SM37     ,
SM36     ,SM38     ,
SM40     ,SM38     ,
SM40     ,SM39     ,
SM40     ,SM41     ,
SM41     ,SM39     ,
SM41     ,SM43     ,
SM35     ,SM37     ,
SM37     ,SM39     ,
SM37     ,SM38     ,
SM38     ,SM39     ,
SM43     ,SM45     ,
SM43     ,SM44     ,
SM44     ,SM45     ,
SM44     ,SM46     ,
SM46     ,SM47     ,
SM46     ,SM48     ,
SM46     ,SM50     ,
SM46     ,SM40     ,
SM44     ,SM40     ,
SM32     ,SM57     ,
SM57     ,SM54     ,
SM57     ,SM56     ,
SM57     ,SM59     ,
SM61     ,SM59     ,
SM61     ,SM60     ,
SM61     ,SM63     ,
SM65     ,SM63     ,
SM65     ,SM64     ,
SM66     ,SM64     ,
SM66     ,SM68     ,
SM68     ,SM70     ,
SM70     ,SM72     ,
SM70     ,SM71     ,
SM71     ,SM73     ,
SM73     ,SM72     ,
SM73     ,SM75     ,
SM76     ,SM75     ,
SM76     ,SM78     ,
SM78     ,SM80     ,
SM82     ,SM80     ,
SM82     ,SM84     ,
SM84     ,SM86     ,
SM86     ,SM88     ,
SM88     ,SM90     ,
SM90     ,SM89     ,
SM90     ,SM92     ,
SM92     ,SM91     ,
SM92     ,SM97     ,
SM97     ,SM94     ,
SM97     ,SM101    ,
SM6436   ,SM6126   ,
SM6436   ,SM6383   ,
SM6383   ,SM6126   ,
SM6383   ,SM6061   ,
SM5791   ,SM6061   ,
SM5791   ,SM5836   ,
SM5791   ,SM5504   ,
SM5791   ,SM3647   ,
SM3647   ,SM4998   ,
SM3647   ,SM3966   ,
SM3647   ,SM3663   ,
SM3647   ,SM3394   ,
SM2990   ,SM3394   ,
SM2990   ,SM3186   ,
SM2990   ,SM2993   ,
SM2990   ,SM2828   ,
SM2828   ,SM2993   ,
SM2828   ,SM2827   ,
SM2828   ,SM2726   ,
SM2726   ,SM2722   ,
SM2722   ,SM2827   ,
SM2722   ,SM2622   ,
SM2622   ,SM2526   ,
SM2528   ,SM2526   ,
SM2528   ,SM2448   ,
SM2448   ,SM2444   ,
SM2448   ,SM2366   ,
SM1932   ,SM1982   ,
SM1932   ,SM1930   ,
SM1932   ,SM1888   ,
SM1849   ,SM1888   ,
SM1849   ,SM1848   ,
SM1848   ,SM1887   ,
SM1848   ,SM1808   ,
SM1808   ,SM1750   ,
SM1753   ,SM1750   ,
SM1753   ,SM1713   ,
SM1713   ,SM1712   ,
SM1713   ,SM1679   ,
SM1169   ,SM1291   ,
SM1169   ,SM1237   ,
SM1169   ,SM1181   ,
SM1169   ,SM1167   ,
SM1169   ,SM1154   ,
SM1169   ,SM1139   ,
SM1169   ,SM996    ,
SM1169   ,SM1039   ,
SM1169   ,SM1064   ,
SM1039   ,SM996    ,
SM891    ,SM918    ,
SM891    ,SM901    ,
SM891    ,SM890    ,
SM891    ,SM883    ,
SM883    ,SM890    ,
SM883    ,SM881    ,
SM881    ,SM890    ,
SM881    ,SM875    ,
SM875    ,SM870    ,
SM872    ,SM870    ,
SM870    ,SM864    ,
SM864    ,SM859    ,
SM859    ,SM855    ,
SM856    ,SM855    ,
SM856    ,SM852    ,
SM852    ,SM851    ,
SM851    ,SM855    ,
SM851    ,SM848    ,
SM848    ,SM844    ,
SM844    ,SM839    ,
SM838    ,SM839    ,
SM839    ,SM834    ,
SM834    ,SM828    ,
SM828    ,SM822    ,
SM823    ,SM822    ,
SM823    ,SM818    ,
SM792    ,SM800    ,
SM792    ,SM793    ,
SM793    ,SM801    ,
SM817    ,SM813    ,
SM817    ,SM818    ,
SM817    ,SM822    ,
SM818    ,SM812    ,
SM800    ,SM807    ,
SM800    ,SM801    ,
SM801    ,SM808    ,
SM813    ,SM808    ,
SM813    ,SM812    ,
SM812    ,SM807    ,
SM807    ,SM808    ,
SM793    ,SM785    ,
SM785    ,SM778    ,
SM777    ,SM778    ,
SM777    ,SM770    ,
SM770    ,SM771    ,
SM770    ,SM765    ,
SM765    ,SM766    ,
SM760    ,SM766    ,
SM760    ,SM752    ,
SM752    ,SM747    ,
SM752    ,SM751    ,
SM751    ,SM745    ,
SM745    ,SM747    ,
SM747    ,SM738    ,
SM778    ,SM771    ,
SM771    ,SM766    ,
SM738    ,SM728    ,
SM728    ,SM717    ,
SM717    ,SM711    ,
SM711    ,SM703    ,
SM703    ,SM697    ,
SM703    ,SM702    ,
SM697    ,SM690    ,
SM690    ,SM683    ,
SM690    ,SM689    ,
SM689    ,SM681    ,
SM633    ,SM644    ,
SM633    ,SM634    ,
SM633    ,SM623    ,
SM623    ,SM625    ,
SM623    ,SM616    ,
SM609    ,SM616    ,
SM609    ,SM610    ,
SM609    ,SM601    ,
SM601    ,SM610    ,
SM601    ,SM603    ,
SM601    ,SM592    ,
SM601    ,SM590    ,
SM590    ,SM592    ,
SM590    ,SM580    ,
SM580    ,SM582    ,
SM580    ,SM568    ,
SM568    ,SM570    ,
SM568    ,SM546    ,
SM546    ,SM547    ,
SM546    ,SM536    ,
SM536    ,SM538    ,
SM536    ,SM531    ,
SM531    ,SM532    ,
SM531    ,SM524    ,
SM524    ,SM526    ,
SM524    ,SM518    ,
SM518    ,SM519    ,
SM518    ,SM511    ,
SM511    ,SM512    ,
SM511    ,SM495    ,
SM495    ,SM497    ,
SM495    ,SM481    ,
SM481    ,SM483    ,
SM481    ,SM467    ,
SM467    ,SM470    ,
SM467    ,SM458    ,
SM458    ,SM460    ,
SM458    ,SM447    ,
SM447    ,SM450    ,
SM447    ,SM436    ,
SM436    ,SM439    ,
SM436    ,SM427    ,
SM427    ,SM429    ,
SM427    ,SM420    ,
SM420    ,SM421    ,
SM420    ,SM413    ,
SM413    ,SM415    ,
SM413    ,SM407    ,
SM407    ,SM408    ,
SM407    ,SM399    ,
SM399    ,SM400    ,
SM399    ,SM392    ,
SM392    ,SM393    ,
SM392    ,SM385    ,
SM385    ,SM387    ,
SM385    ,SM380    ,
SM380    ,SM381    ,
SM380    ,SM375    ,
SM369    ,SM375    ,
SM369    ,SM370    ,
SM369    ,SM363    ,
SM363    ,SM365    ,
SM363    ,SM357    ,
SM15     ,SM17     ,
SM17     ,SM19     ,
SM17     ,SM18     ,
SM18     ,SM20     ,
SM20     ,SM19     ,
SM20     ,SM21     ,
SM20     ,SM22     ,
SM22     ,SM21     ,
SM22     ,SM24     ,
SM24     ,SM23     ,
SM25     ,SM23     ,
SM25     ,SM27     ,
SM27     ,SM29     ,
SM27     ,SM28     ,
SM273    ,SM278    ,
SM273    ,SM274    ,
SM273    ,SM262    ,
SM262    ,SM265    ,
SM262    ,SM256    ,
SM77     ,SM79     ,
SM79     ,SM81     ,
SM81     ,SM83     ,
SM83     ,SM85     ,
SM85     ,SM87     ,
SM87     ,SM89     ,
SM89     ,SM91     ,
SM91     ,SM94     ,
SM94     ,SM100    ,
SM101    ,SM100    ,
SM101    ,SM105    ,
SM4260   ,SM3980   ,
SM4260   ,SM4244   ,
SM4260   ,SM4491   ,
SM4260   ,SM4515   ,
SM4515   ,SM4491   ,
SM4515   ,SM4784   ,
SM4784   ,SM4753   ,
SM4784   ,SM5023   ,
